twocat,year,dif_white,dif_hispa,dif_black,dif_asian,dif_amind,dif_pacis,dif_othra
For-Profit 2-year,2009,-16.35747,0.668651,10.4505,-1.173922,0.3364555,,6.810246
For-Profit 2-year,2010,-13.47357,-0.7463003,10.92746,-2.426449,0.191065,0.1758044,6.181283
For-Profit 2-year,2011,-15.00472,0.8354324,11.4264,-2.446973,0.3356951,0.3844323,4.540707
For-Profit 2-year,2012,-15.54945,-0.3885689,12.64764,-2.503877,0.3618825,0.2803081,5.025004
For-Profit 2-year,2013,-15.94016,-0.5230582,13.18602,-2.60446,0.4190498,0.3768511,4.747008
For-Profit 2-year,2014,-16.24634,-0.2112736,13.86996,-2.603044,0.3566711,0.3723803,4.198072
For-Profit 2-year,2015,-15.12112,0.8178198,12.59831,-2.370725,0.3621762,0.2912685,2.647336
For-Profit 2-year,2016,-14.24923,1.058719,11.76821,-2.033781,0.4649066,0.3429396,2.59589
For-Profit 2-year,2017,-14.59548,2.596755,11.40818,-2.038922,0.4614294,0.3868584,1.685244
Public 2-year,2009,-2.120363,-1.168731,1.882247,0.7929984,0.4141731,,1.640154
Public 2-year,2010,-0.6459212,-0.662635,2.708086,-0.3295597,0.2238207,0.1520167,-0.4564007
Public 2-year,2011,-3.438711,0.3565657,3.115038,-0.5055969,0.3319529,0.1409017,0.066634
Public 2-year,2012,-3.500892,1.261397,2.590906,-0.6165885,0.294799,0.1295233,-0.3033664
Public 2-year,2013,-3.888568,2.049275,2.575186,-0.6570606,0.2523739,0.1116514,-0.7915193
Public 2-year,2014,-4.29808,2.858323,2.285521,-0.7389911,0.2439139,0.0975439,-0.9794666
Public 2-year,2015,-4.67893,3.696869,1.687692,-0.7689008,0.2259314,0.0895816,-0.9141449
Public 2-year,2016,-4.974565,4.434404,1.481619,-0.748763,0.2029976,0.0834839,-1.21159
Public 2-year,2017,-5.330426,5.009553,1.482937,-0.8127353,0.1685957,0.0801663,-1.425436
